Date,Open,High,Low,Close
11/2/2015,8054.5498,8060.7002,7995.6001,8050.7998
11/3/2015,8086.3501,8100.3501,8031.75,8060.7002
11/4/2015,8104.8999,8116.1001,8027.2998,8040.2002
11/5/2015,8030.3501,8031.2002,7944.1001,7955.4502
11/6/2015,7956.5498,8002.6499,7926.1499,7954.2998
11/9/2015,7788.25,7937.75,7771.7002,7915.2002
11/10/2015,7877.6001,7885.1001,7772.8501,7783.3501
11/11/2015,7838.7998,7847.9502,7819.1001,7825
11/13/2015,7762.4502,7775.1001,7730.8999,7762.25
11/16/2015,7732.9502,7838.8501,7714.1499,7806.6001
11/17/2015,7848.75,7860.4502,7793,7837.5498
11/18/2015,7823.1499,7843.3999,7725.0498,7731.7998
11/19/2015,7788.5,7854.8999,7765.4502,7842.75
11/20/2015,7841.8999,7906.9502,7817.7998,7856.5498
11/23/2015,7869.5,7877.5,7825.2002,7849.25
11/24/2015,7837,7870.3501,7812.6499,7831.6001
11/26/2015,7837.1499,7897.1001,7832,7883.7998
11/27/2015,7910.6001,7959.2998,7879.4502,7942.7002
11/30/2015,7936.25,7966,7922.7998,7935.25
12/1/2015,7958.1499,7972.1499,7934.1499,7954.8999
12/2/2015,7976.7002,7979.2998,7910.7998,7931.3501
12/3/2015,7902.2998,7912.2998,7853.2998,7864.1499
12/4/2015,7817.6001,7821.3999,7775.7002,7781.8999
12/7/2015,7816.5498,7825.3999,7746.0498,7765.3999
12/8/2015,7738.5,7771.25,7685.4502,7701.7002
12/9/2015,7695.5,7702.8501,7606.8999,7612.5
12/10/2015,7643.2998,7691.9502,7610,7683.2998
12/11/2015,7699.6001,7703.0498,7575.2998,7610.4502
12/14/2015,7558.2002,7663.9502,7551.0498,7650.0498
12/15/2015,7659.1499,7705,7625.1001,7700.8999
12/16/2015,7725.25,7776.6001,7715.75,7750.8999
12/17/2015,7783.0498,7852.8999,7737.5498,7844.3501
12/18/2015,7828.8999,7836.1499,7753.3501,7761.9502
